official_name,level,speakers,country,official,regional,minority,national,widely_spoken,country_count,max_urbanization,max_internet_use
Worrorra,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Wotapuri-Katarqalai,Extinct,0,Afghanistan,0,0,0,0,0,1,26.933,17.7
Wotu,Threatened,5000,Indonesia,0,0,0,0,0,1,58.572,69.2
Wubuy,Endangered,300,Australia,0,0,0,0,0,1,86.617,97.1
Wudjari,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
Wulna,Critically Endangered,1,Australia,0,0,0,0,0,1,86.617,97.1
Wunambal,Severely Endangered,20,Australia,0,0,0,0,0,1,86.617,97.1
Wusi,Endangered,350,Vanuatu,0,0,0,0,0,1,25.976,45.7
Wutung,Endangered,610,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Wutunhua,Endangered,4000,China,0,0,0,0,0,1,64.57,77.5
Xaad Kil (Haida),Critically Endangered,100,United States;Canada,0,0,0,0,0,2,83.298,94.0
Xakriabá,Extinct,0,Brazil,0,0,0,0,0,1,87.788,84.2
Xavante,Vulnerable,13303,Brazil,0,0,0,0,0,1,87.788,84.2
Xerente,Threatened,2569,Brazil,0,0,0,0,0,1,87.788,84.2
Xetá,Critically Endangered,2,Brazil,0,0,0,0,0,1,87.788,84.2
Xiandao,Endangered,40,China,0,0,0,0,0,1,64.57,77.5
Xibe,Vulnerable,27000,China,0,0,0,0,0,1,64.57,77.5
Xipaya,Extinct,0,Brazil,0,0,0,0,0,1,87.788,84.2
Xokleng,Endangered,790,Brazil,0,0,0,0,0,1,87.788,84.2
X̄enaksialak̓ala / X̄a'islak̓ala (Haisla),Critically Endangered,74,Canada,0,0,0,0,0,1,81.862,94.0
Yaaku,Severely Endangered,50,Kenya,0,0,0,0,0,1,29.52,35.0
Yafi,Endangered,170,Indonesia,0,0,0,0,0,1,58.572,69.2
Yagan,Extinct,0,Chile,0,0,0,0,0,1,88.012,94.5
Yaghnobi,Vulnerable,13500,Tajikistan,0,0,0,0,0,1,28.234,56.8
Yagua,Threatened,4297,Peru;Colombia,0,0,0,0,0,2,82.354,79.5
Yahang,Endangered,1182,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Yakaikeke,Endangered,100,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Yakha,Endangered,14000,India;Nepal,0,0,0,0,0,2,36.364,55.8
Yakut,Vulnerable,456288,Russian Federation,0,0,0,0,0,1,75.331,92.2
Yalarnnga,Extinct,0,Australia,0,0,0,0,0,1,86.617,97.1
Yalë,Endangered,580,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
Yambes,Endangered,860,Papua New Guinea,0,0,0,0,0,1,13.723,24.1
