glottocode,language_name,lang_family,endangerment_level,lang_family_count,domains_of_use,speaker_number,speaker_number_trends,transmission,elcat_endangerment,country_count,max_gdp_percapita,avg_gdp_percapita,max_internet,avg_internet,max_urban,avg_urban,max_urban_growth,avg_urban_growth,official,regional,national,minority,widely_spoken,area_Africa,area_Australia,area_Eurasia,area_North America,area_Papunesia,area_South America
tuxa1239,Tuxá,,5,0.0,,,,,,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
wara1303,Warao,,2,0.0,,1,,,vulnerable,3,29675.2443873316,13618.208324460256,87.4,82.35990092,89.285859883201,60.5092545306155,0.889793534914993,0.6393969407346387,0,0,0,0,0,0,0,0,0,0,1
beot1247,Beothuk,,5,0.0,,,,,,1,54340.3477224733,54340.3477224733,94.353302,94.353302,82.7002565766633,82.7002565766633,3.17427570128175,3.17427570128175,0,0,0,0,0,0,0,0,1,0,0
saus1247,Sause,,1,0.0,,3,3,,endangered,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
kimk1238,Kimki,,1,0.0,1,3,,,threatened,1,4925.43048751861,4925.43048751861,72.78075544,72.78075544,58.7509635387997,58.7509635387997,1.89719567962498,1.89719567962498,0,0,0,0,0,0,0,0,0,1,0
fasu1242,Fasu,,1,0.0,,2,,,threatened,1,3006.70564478923,3006.70564478923,18.81159973,18.81159973,15.4061816403333,15.4061816403333,4.06785501758394,4.06785501758394,0,0,0,0,0,0,0,0,0,1,0
buru1296,Burushaski,,1,0.0,,0,4,2,threatened,2,2694.73780859961,2086.755294189785,64.9434967,61.09824835,39.1734368360905,37.2761670364647,2.41802539576733,2.09612960950936,0,0,0,0,0,0,0,1,0,0,0
mure1235,Mure,,5,0.0,,,,,,1,4421.16609889999,4421.16609889999,79.70469666,79.70469666,71.2361453773988,71.2361453773988,1.82370068528301,1.82370068528301,0,0,0,0,0,0,0,0,0,0,1
cofa1242,Cofán,,2,0.0,2,2,1,0,vulnerable,2,7919.20886825345,7396.957304009726,79.34543299,78.25908207,78.5210811866115,70.87938721318585,1.3876355674663,1.2087038887622,0,0,0,0,0,0,0,0,0,0,1
coto1248,Cotoname,,5,0.0,,,,,,1,14185.7812248529,14185.7812248529,83.12233799,83.12233799,79.7538805976118,79.7538805976118,1.2127000253117,1.2127000253117,0,0,0,0,0,0,0,0,1,0,0
iran1263,Irántxe-Münkü,,3,0.0,,3,,,severely endangered,1,10310.5488778166,10310.5488778166,84.46347227,84.46347227,87.8958549533146,87.8958549533146,0.724401697459186,0.724401697459186,0,0,0,0,0,0,0,0,0,0,1
chit1248,Chitimacha,,5,0.0,,,,,awakening,1,84534.0407841548,84534.0407841548,94.69380188,94.69380188,80.1247798047184,80.1247798047184,1.04286346807884,1.04286346807884,0,0,0,0,0,0,0,0,1,0,0
